Year,Gender,State,Rank
2016,M,Andra Pradesh,1
2016,M,Rajasthan,2
2016,F,Gujarat,3
2016,,,4
2016,M,Rajasthan,5
2016,,,6
2016,,,7
2016,M,Maharashtra,8
2016,M,Odisha,9
2016,F,Chandigarh,10
2017,F,Gujarat,1
2017,M,Gujarat,2
2017,M,West Bengal,3
2017,M,Odisha,4
2017,M,,5
2017,M,,6
2017,M,,7
2017,M,,8
2017,M,Maharashtra,9
2017,M,,10
2018,F,Punjab,1
2018,F,Punjab,2
2018,F,Haryana,3
2018,M,Punjab,4
2018,M,Gujarat,5
2018,M,Uttar Pradesh,6
2018,M,Haryana,7
2018,M,Delhi,8
2018,M,Rajasthan,9
2018,F,Haryana,10
2019,M,Delhi,1
2019,M,Gujarat,2
2019,M,Uttar Pradesh,3
2019,M,Gujarat,4
2019,M,Kerala,5
2019,M,Gujarat,6
2019,M,,7
2019,M,Madhya pradesh,8
2019,F,Delhi,9
2019,F,Rajasthan,10
